year,jday,tree.type,site,plot,nindivs,tag,spp,dbh,,ba [m^2]
2009,225,live,ems,B3,NA,210,ro,35.29,,0.031134603
2009,335,live,ems,B3,NA,210,ro,35.38,,0.03129361
2009,120,live,ems,B3,NA,211,rm,17.68,,0.00781456
2009,152,live,ems,B3,NA,211,rm,17.7,,0.00783225
2009,225,live,ems,B3,NA,211,rm,17.69,,0.007823403
2009,335,live,ems,B3,NA,211,rm,17.7,,0.00783225
2009,120,live,ems,B3,NA,212,rm,13.47,,0.004536023
2009,152,live,ems,B3,NA,212,rm,13.48,,0.00454276
2009,225,live,ems,B3,NA,212,rm,13.51,,0.004563003
2009,335,live,ems,B3,NA,212,rm,13.53,,0.004576523
2009,120,live,ems,B3,NA,213,rm,14.15,,0.005005563
2009,152,live,ems,B3,NA,213,rm,14.16,,0.00501264
2009,225,live,ems,B3,NA,213,rm,14.23,,0.005062323
2009,335,live,ems,B3,NA,213,rm,14.25,,0.005076563
2009,120,live,ems,B3,NA,214,yb,16.08,,0.00646416
2009,152,live,ems,B3,NA,214,yb,16.08,,0.00646416
2009,225,live,ems,B3,NA,214,yb,16.1,,0.00648025
2009,335,live,ems,B3,NA,214,yb,16.11,,0.006488303
2009,120,live,ems,B3,NA,215,rm,20.23,,0.010231323
2009,152,live,ems,B3,NA,215,rm,20.33,,0.010332723
2009,225,live,ems,B3,NA,215,rm,20.53,,0.010537023
2009,335,live,ems,B3,NA,215,rm,20.64,,0.01065024
2009,120,live,ems,B3,NA,216,rm,16.26,,0.00660969
2009,152,live,ems,B3,NA,216,rm,16.26,,0.00660969
2009,225,live,ems,B3,NA,216,rm,16.29,,0.006634103
2009,335,live,ems,B3,NA,216,rm,16.31,,0.006650403
2009,120,live,ems,B3,NA,218,rm,12.98,,0.00421201
2009,152,live,ems,B3,NA,218,rm,12.99,,0.004218503
2009,225,live,ems,B3,NA,218,rm,12.99,,0.004218503
2009,335,live,ems,B3,NA,218,rm,13,,0.004225
2009,120,live,ems,B3,NA,221,rm,24.53,,0.015043023
2009,152,live,ems,B3,NA,221,rm,24.54,,0.01505529
2009,225,live,ems,B3,NA,221,rm,24.56,,0.01507984
2009,335,live,ems,B3,NA,221,rm,24.59,,0.015116703
2009,120,live,ems,B3,NA,222,rm,21.04,,0.01106704
2009,152,live,ems,B3,NA,222,rm,21.06,,0.01108809
2009,225,live,ems,B3,NA,222,rm,21.09,,0.011119703
2009,335,live,ems,B3,NA,222,rm,21.09,,0.011119703
2009,120,live,ems,B3,NA,223,ro,46.74,,0.05461569
2009,152,live,ems,B3,NA,223,ro,46.94,,0.05508409
2009,225,live,ems,B3,NA,223,ro,47.15,,0.055578063
2009,335,live,ems,B3,NA,223,ro,47.3,,0.05593225
2009,120,live,ems,B3,NA,225,rm,21.43,,0.011481123
2009,152,live,ems,B3,NA,225,rm,21.43,,0.011481123
2009,225,live,ems,B3,NA,225,rm,21.43,,0.011481123
2009,335,live,ems,B3,NA,225,rm,21.44,,0.01149184
2009,120,live,ems,B3,NA,226,ro,24.01,,0.014412003
2009,152,live,ems,B3,NA,226,ro,24.1,,0.01452025
2009,225,live,ems,B3,NA,226,ro,24.17,,0.014604723
2009,335,live,ems,B3,NA,226,ro,24.24,,0.01468944
2009,120,live,ems,B3,NA,227,rm,21.83,,0.011913723
2009,152,live,ems,B3,NA,227,rm,21.84,,0.01192464
2009,225,live,ems,B3,NA,227,rm,21.86,,0.01194649
2009,335,live,ems,B3,NA,227,rm,21.86,,0.01194649
2009,120,live,ems,B3,NA,228,bo,49.56,,0.06140484
2009,152,live,ems,B3,NA,228,bo,49.78,,0.06195121
2009,225,live,ems,B3,NA,228,bo,50.08,,0.06270016
2009,335,live,ems,B3,NA,228,bo,50.17,,0.062925723
2009,120,live,ems,B3,NA,231,ro,23,,0.013225
2009,152,live,ems,B3,NA,231,ro,23.07,,0.013305623
2009,225,live,ems,B3,NA,231,ro,23.13,,0.013374923
2009,335,live,ems,B3,NA,231,ro,23.17,,0.013421223
2009,120,live,ems,B3,NA,232,ro,36.96,,0.03415104
2009,152,live,ems,B3,NA,232,ro,37.15,,0.034503063
2009,225,live,ems,B3,NA,232,ro,37.33,,0.034838223
2009,335,live,ems,B3,NA,232,ro,37.43,,0.035025123
2009,120,live,ems,B4,NA,251,bo,19.86,,0.00986049
2009,152,live,ems,B4,NA,251,bo,19.92,,0.00992016
2009,225,live,ems,B4,NA,251,bo,19.97,,0.009970023
2009,335,live,ems,B4,NA,251,bo,20,,0.01
2009,120,live,ems,B4,NA,253,rm,12.6,,0.003969
2009,152,live,ems,B4,NA,253,rm,12.64,,0.00399424
2009,225,live,ems,B4,NA,253,rm,12.76,,0.00407044
2009,335,live,ems,B4,NA,253,rm,12.8,,0.004096
2009,120,dead,ems,B4,NA,254,rm,12.99,,0.004218503
2009,152,dead,ems,B4,NA,254,rm,12.95,,0.004192563
2009,225,dead,ems,B4,NA,254,rm,12.96,,0.00419904
2009,335,dead,ems,B4,NA,254,rm,12.95,,0.004192563
2009,120,live,ems,B4,NA,255,rm,21.09,,0.011119703
2009,152,live,ems,B4,NA,255,rm,21.19,,0.011225403
2009,225,live,ems,B4,NA,255,rm,21.43,,0.011481123
2009,335,live,ems,B4,NA,255,rm,21.52,,0.01157776
2009,120,live,ems,B4,NA,256,rm,15.08,,0.00568516
2009,152,live,ems,B4,NA,256,rm,15.09,,0.005692703
2009,225,live,ems,B4,NA,256,rm,15.14,,0.00573049
2009,335,live,ems,B4,NA,256,rm,15.16,,0.00574564
2009,120,live,ems,B4,NA,257,rm,12.44,,0.00386884
2009,152,live,ems,B4,NA,257,rm,12.45,,0.003875063
2009,225,live,ems,B4,NA,257,rm,12.57,,0.003950123
2009,335,live,ems,B4,NA,257,rm,12.6,,0.003969
2009,120,live,ems,B4,NA,258,rm,11.68,,0.00341056
2009,152,live,ems,B4,NA,258,rm,11.69,,0.003416403
2009,225,live,ems,B4,NA,258,rm,11.7,,0.00342225
2009,335,live,ems,B4,NA,258,rm,11.7,,0.00342225
2009,120,dead,ems,B4,NA,259,rm,12.78,,0.00408321
2009,152,dead,ems,B4,NA,259,rm,12.78,,0.00408321
2009,225,dead,ems,B4,NA,259,rm,12.77,,0.004076823
2009,335,dead,ems,B4,NA,259,rm,12.78,,0.00408321
2009,120,live,ems,B4,NA,260,rm,11.35,,0.003220563
2009,152,live,ems,B4,NA,260,rm,11.35,,0.003220563
2009,225,live,ems,B4,NA,260,rm,11.36,,0.00322624
2009,335,live,ems,B4,NA,260,rm,11.37,,0.003231923
2009,120,live,ems,B4,NA,261,rm,15.76,,0.00620944
2009,152,live,ems,B4,NA,261,rm,15.77,,0.006217323
2009,225,live,ems,B4,NA,261,rm,15.79,,0.006233103
2009,335,live,ems,B4,NA,261,rm,15.82,,0.00625681
2009,120,live,ems,B4,NA,262,ro,27.13,,0.018400923
2009,152,live,ems,B4,NA,262,ro,27.36,,0.01871424
2009,225,live,ems,B4,NA,262,ro,27.59,,0.019030203
2009,335,live,ems,B4,NA,262,ro,27.73,,0.019223823
2009,120,live,ems,B4,NA,263,gb,17.38,,0.00755161
2009,152,live,ems,B4,NA,263,gb,17.4,,0.007569
2009,225,live,ems,B4,NA,263,gb,17.42,,0.00758641
2009,335,live,ems,B4,NA,263,gb,17.45,,0.007612563
2009,120,live,ems,B4,NA,264,rm,11.62,,0.00337561
2009,152,live,ems,B4,NA,264,rm,11.67,,0.003404723
2009,225,live,ems,B4,NA,264,rm,11.82,,0.00349281
2009,335,live,ems,B4,NA,264,rm,11.87,,0.003522423
2009,120,live,ems,B4,NA,265,gb,23.14,,0.01338649
2009,152,live,ems,B4,NA,265,gb,23.18,,0.01343281
2009,225,live,ems,B4,NA,265,gb,23.25,,0.013514063
2009,335,live,ems,B4,NA,265,gb,23.28,,0.01354896
2009,120,live,ems,B4,NA,268,gb,22.52,,0.01267876
2009,152,live,ems,B4,NA,268,gb,22.53,,0.012690023
2009,225,live,ems,B4,NA,268,gb,22.54,,0.01270129
2009,335,live,ems,B4,NA,268,gb,22.56,,0.01272384
2009,120,live,ems,B4,NA,269,gb,28.85,,0.020808063
2009,152,live,ems,B4,NA,269,gb,28.89,,0.020865803
2009,225,live,ems,B4,NA,269,gb,28.94,,0.02093809
2009,335,live,ems,B4,NA,269,gb,28.98,,0.02099601
2009,120,dead,ems,B4,NA,270,rm,12.82,,0.00410881
2009,152,dead,ems,B4,NA,270,rm,12.84,,0.00412164
2009,225,dead,ems,B4,NA,270,rm,12.85,,0.004128063
2009,335,dead,ems,B4,NA,270,rm,12.87,,0.004140923
2009,120,live,ems,B4,NA,271,rm,11.18,,0.00312481
2009,152,live,ems,B4,NA,271,rm,11.2,,0.003136
2009,225,live,ems,B4,NA,271,rm,11.25,,0.003164063
2009,335,live,ems,B4,NA,271,rm,11.28,,0.00318096
2009,120,live,ems,B4,NA,272,rm,23.83,,0.014196723
2009,152,live,ems,B4,NA,272,rm,23.98,,0.01437601
2009,225,live,ems,B4,NA,272,rm,24.22,,0.01466521
2009,335,live,ems,B4,NA,272,rm,24.31,,0.014774403
2009,120,live,ems,B4,NA,273,rm,14.62,,0.00534361
2009,152,live,ems,B4,NA,273,rm,14.64,,0.00535824
2009,225,live,ems,B4,NA,273,rm,14.78,,0.00546121
2009,335,live,ems,B4,NA,273,rm,14.81,,0.005483403
2009,120,live,ems,B4,NA,276,rm,11.75,,0.003451563
2009,152,live,ems,B4,NA,276,rm,11.75,,0.003451563
2009,225,live,ems,B4,NA,276,rm,11.84,,0.00350464
2009,335,live,ems,B4,NA,276,rm,11.84,,0.00350464
2009,120,live,ems,B4,NA,277,ro,26.04,,0.01695204
2009,152,live,ems,B4,NA,277,ro,26.18,,0.01713481
2009,225,live,ems,B4,NA,277,ro,26.41,,0.017437203
2009,335,live,ems,B4,NA,277,ro,26.51,,0.017569503
2009,120,live,ems,B4,NA,278,rm,14.98,,0.00561001
2009,152,live,ems,B4,NA,278,rm,14.97,,0.005602523
2009,225,live,ems,B4,NA,278,rm,14.98,,0.00561001
2009,335,live,ems,B4,NA,278,rm,15.01,,0.005632503
